,State,Area,MedianIncome2016,Year,UnemploymentRate,Region
7506,IL,Richland County,,2011,8.2,Midwest
7507,IL,Richland County,,2012,8.0,Midwest
7508,IL,Richland County,,2013,8.3,Midwest
7509,IL,Richland County,,2014,6.4,Midwest
7510,IL,Richland County,,2015,6.0,Midwest
7511,IL,Richland County,56414.0,2016,5.9,Midwest
7512,IL,Richland County,,2017,4.7,Midwest
7513,IL,Rock Island County,,2007,4.5,Midwest
7514,IL,Rock Island County,,2008,5.5,Midwest
7515,IL,Rock Island County,,2009,9.2,Midwest
7516,IL,Rock Island County,,2010,9.5,Midwest
7517,IL,Rock Island County,,2011,8.5,Midwest
7518,IL,Rock Island County,,2012,8.0,Midwest
7519,IL,Rock Island County,,2013,8.3,Midwest
7520,IL,Rock Island County,,2014,7.1,Midwest
7521,IL,Rock Island County,,2015,6.0,Midwest
7522,IL,Rock Island County,45863.0,2016,6.2,Midwest
7523,IL,Rock Island County,,2017,5.0,Midwest
7524,IL,St. Clair County,,2007,6.1,Midwest
7525,IL,St. Clair County,,2008,7.5,Midwest
7526,IL,St. Clair County,,2009,10.9,Midwest
7527,IL,St. Clair County,,2010,10.3,Midwest
7528,IL,St. Clair County,,2011,9.7,Midwest
7529,IL,St. Clair County,,2012,9.5,Midwest
7530,IL,St. Clair County,,2013,9.8,Midwest
7531,IL,St. Clair County,,2014,7.8,Midwest
7532,IL,St. Clair County,,2015,7.0,Midwest
7533,IL,St. Clair County,60590.0,2016,6.0,Midwest
7534,IL,St. Clair County,,2017,4.9,Midwest
7535,IL,Saline County,,2007,6.4,Midwest
7536,IL,Saline County,,2008,8.0,Midwest
7537,IL,Saline County,,2009,9.9,Midwest
7538,IL,Saline County,,2010,10.2,Midwest
7539,IL,Saline County,,2011,9.5,Midwest
7540,IL,Saline County,,2012,9.1,Midwest
7541,IL,Saline County,,2013,10.6,Midwest
7542,IL,Saline County,,2014,8.2,Midwest
7543,IL,Saline County,,2015,8.0,Midwest
7544,IL,Saline County,45476.0,2016,8.5,Midwest
7545,IL,Saline County,,2017,6.4,Midwest
7546,IL,Sangamon County,,2007,4.4,Midwest
7547,IL,Sangamon County,,2008,5.6,Midwest
7548,IL,Sangamon County,,2009,7.5,Midwest
7549,IL,Sangamon County,,2010,7.7,Midwest
7550,IL,Sangamon County,,2011,7.4,Midwest
7551,IL,Sangamon County,,2012,7.2,Midwest
7552,IL,Sangamon County,,2013,7.4,Midwest
7553,IL,Sangamon County,,2014,5.9,Midwest
7554,IL,Sangamon County,,2015,5.0,Midwest
7555,IL,Sangamon County,45247.0,2016,4.8,Midwest
7556,IL,Sangamon County,,2017,4.2,Midwest
7557,IL,Schuyler County,,2007,4.0,Midwest
7558,IL,Schuyler County,,2008,5.1,Midwest
7559,IL,Schuyler County,,2009,6.7,Midwest
7560,IL,Schuyler County,,2010,8.2,Midwest
7561,IL,Schuyler County,,2011,8.0,Midwest
7562,IL,Schuyler County,,2012,7.8,Midwest
7563,IL,Schuyler County,,2013,8.3,Midwest
7564,IL,Schuyler County,,2014,6.7,Midwest
7565,IL,Schuyler County,,2015,6.0,Midwest
7566,IL,Schuyler County,50195.0,2016,5.6,Midwest
7567,IL,Schuyler County,,2017,4.4,Midwest
7568,IL,Scott County,,2007,5.1,Midwest
7569,IL,Scott County,,2008,5.9,Midwest
7570,IL,Scott County,,2009,7.8,Midwest
7571,IL,Scott County,,2010,8.7,Midwest
7572,IL,Scott County,,2011,8.2,Midwest
7573,IL,Scott County,,2012,8.7,Midwest
7574,IL,Scott County,,2013,8.9,Midwest
7575,IL,Scott County,,2014,6.9,Midwest
7576,IL,Scott County,,2015,6.0,Midwest
7577,IL,Scott County,48346.0,2016,5.6,Midwest
7578,IL,Scott County,,2017,5.1,Midwest
7579,IL,Shelby County,,2007,4.8,Midwest
7580,IL,Shelby County,,2008,6.5,Midwest
7581,IL,Shelby County,,2009,9.8,Midwest
7582,IL,Shelby County,,2010,9.7,Midwest
7583,IL,Shelby County,,2011,9.1,Midwest
7584,IL,Shelby County,,2012,8.6,Midwest
7585,IL,Shelby County,,2013,8.7,Midwest
7586,IL,Shelby County,,2014,6.8,Midwest
7587,IL,Shelby County,,2015,6.0,Midwest
7588,IL,Shelby County,58587.0,2016,5.7,Midwest
7589,IL,Shelby County,,2017,4.4,Midwest
7590,IL,Stark County,,2007,5.1,Midwest
7591,IL,Stark County,,2008,6.3,Midwest
7592,IL,Stark County,,2009,10.4,Midwest
7593,IL,Stark County,,2010,9.7,Midwest
7594,IL,Stark County,,2011,8.7,Midwest
7595,IL,Stark County,,2012,8.1,Midwest
7596,IL,Stark County,,2013,9.5,Midwest
7597,IL,Stark County,,2014,7.5,Midwest
7598,IL,Stark County,,2015,7.0,Midwest
7599,IL,Stark County,45583.0,2016,7.2,Midwest
7600,IL,Stark County,,2017,6.0,Midwest
7601,IL,Stephenson County,,2007,5.1,Midwest
7602,IL,Stephenson County,,2008,6.7,Midwest
7603,IL,Stephenson County,,2009,11.4,Midwest
7604,IL,Stephenson County,,2010,11.1,Midwest
7605,IL,Stephenson County,,2011,9.8,Midwest
7606,IL,Stephenson County,,2012,9.0,Midwest
7607,IL,Stephenson County,,2013,9.4,Midwest
7608,IL,Stephenson County,,2014,7.3,Midwest
7609,IL,Stephenson County,,2015,7.0,Midwest
7610,IL,Stephenson County,44874.0,2016,5.8,Midwest
7611,IL,Stephenson County,,2017,4.6,Midwest
7612,IL,Tazewell County,,2007,4.2,Midwest
7613,IL,Tazewell County,,2008,5.2,Midwest
7614,IL,Tazewell County,,2009,10.5,Midwest
7615,IL,Tazewell County,,2010,9.9,Midwest
7616,IL,Tazewell County,,2011,8.3,Midwest
7617,IL,Tazewell County,,2012,7.5,Midwest
7618,IL,Tazewell County,,2013,8.6,Midwest
7619,IL,Tazewell County,,2014,6.7,Midwest
7620,IL,Tazewell County,,2015,6.0,Midwest
7621,IL,Tazewell County,51567.0,2016,6.4,Midwest
7622,IL,Tazewell County,,2017,5.3,Midwest
7623,IL,Union County,,2007,6.8,Midwest
7624,IL,Union County,,2008,8.5,Midwest
7625,IL,Union County,,2009,11.2,Midwest
7626,IL,Union County,,2010,12.0,Midwest
7627,IL,Union County,,2011,11.6,Midwest
7628,IL,Union County,,2012,10.9,Midwest
7629,IL,Union County,,2013,11.2,Midwest
7630,IL,Union County,,2014,8.8,Midwest
7631,IL,Union County,,2015,8.0,Midwest
7632,IL,Union County,81640.0,2016,7.3,Midwest
7633,IL,Union County,,2017,6.3,Midwest
7634,IL,Vermilion County,,2007,6.1,Midwest
7635,IL,Vermilion County,,2008,7.7,Midwest
7636,IL,Vermilion County,,2009,11.5,Midwest
7637,IL,Vermilion County,,2010,11.4,Midwest
7638,IL,Vermilion County,,2011,9.9,Midwest
7639,IL,Vermilion County,,2012,9.3,Midwest
7640,IL,Vermilion County,,2013,10.6,Midwest
7641,IL,Vermilion County,,2014,8.4,Midwest
7642,IL,Vermilion County,,2015,7.0,Midwest
7643,IL,Vermilion County,48112.0,2016,7.1,Midwest
7644,IL,Vermilion County,,2017,6.3,Midwest
7645,IL,Wabash County,,2007,5.4,Midwest
7646,IL,Wabash County,,2008,7.2,Midwest
7647,IL,Wabash County,,2009,10.4,Midwest
7648,IL,Wabash County,,2010,9.8,Midwest
7649,IL,Wabash County,,2011,8.9,Midwest
7650,IL,Wabash County,,2012,7.9,Midwest
7651,IL,Wabash County,,2013,7.5,Midwest
7652,IL,Wabash County,,2014,6.0,Midwest
7653,IL,Wabash County,,2015,6.0,Midwest
7654,IL,Wabash County,50296.0,2016,6.2,Midwest
7655,IL,Wabash County,,2017,4.9,Midwest
7656,IL,Warren County,,2007,4.4,Midwest
7657,IL,Warren County,,2008,5.6,Midwest
7658,IL,Warren County,,2009,7.5,Midwest
7659,IL,Warren County,,2010,7.8,Midwest
7660,IL,Warren County,,2011,7.2,Midwest
7661,IL,Warren County,,2012,7.1,Midwest
7662,IL,Warren County,,2013,7.4,Midwest
7663,IL,Warren County,,2014,5.8,Midwest
7664,IL,Warren County,,2015,5.0,Midwest
7665,IL,Warren County,73055.0,2016,5.2,Midwest
7666,IL,Warren County,,2017,4.1,Midwest
7667,IL,Washington County,,2007,4.5,Midwest
7668,IL,Washington County,,2008,5.9,Midwest
7669,IL,Washington County,,2009,8.1,Midwest
7670,IL,Washington County,,2010,7.2,Midwest
7671,IL,Washington County,,2011,6.6,Midwest
7672,IL,Washington County,,2012,6.3,Midwest
7673,IL,Washington County,,2013,6.2,Midwest
7674,IL,Washington County,,2014,4.7,Midwest
7675,IL,Washington County,,2015,4.0,Midwest
7676,IL,Washington County,52289.0,2016,3.7,Midwest
7677,IL,Washington County,,2017,2.9,Midwest
7678,IL,Wayne County,,2007,4.7,Midwest
7679,IL,Wayne County,,2008,6.3,Midwest
7680,IL,Wayne County,,2009,10.0,Midwest
7681,IL,Wayne County,,2010,8.9,Midwest
7682,IL,Wayne County,,2011,8.0,Midwest
7683,IL,Wayne County,,2012,7.7,Midwest
7684,IL,Wayne County,,2013,7.8,Midwest
7685,IL,Wayne County,,2014,6.6,Midwest
7686,IL,Wayne County,,2015,7.0,Midwest
7687,IL,Wayne County,51517.0,2016,8.4,Midwest
7688,IL,Wayne County,,2017,6.1,Midwest
7689,IL,White County,,2007,5.1,Midwest
7690,IL,White County,,2008,6.3,Midwest
7691,IL,White County,,2009,8.6,Midwest
7692,IL,White County,,2010,8.5,Midwest
7693,IL,White County,,2011,7.9,Midwest
7694,IL,White County,,2012,7.6,Midwest
7695,IL,White County,,2013,7.7,Midwest
7696,IL,White County,,2014,5.9,Midwest
7697,IL,White County,,2015,6.0,Midwest
7698,IL,White County,51329.0,2016,6.5,Midwest
7699,IL,White County,,2017,4.8,Midwest
7700,IL,Whiteside County,,2007,5.3,Midwest
7701,IL,Whiteside County,,2008,6.7,Midwest
7702,IL,Whiteside County,,2009,10.4,Midwest
7703,IL,Whiteside County,,2010,10.3,Midwest
7704,IL,Whiteside County,,2011,9.5,Midwest
7705,IL,Whiteside County,,2012,8.8,Midwest
7706,IL,Whiteside County,,2013,8.7,Midwest
7707,IL,Whiteside County,,2014,6.9,Midwest
7708,IL,Whiteside County,,2015,6.0,Midwest
7709,IL,Whiteside County,59765.0,2016,5.7,Midwest
7710,IL,Whiteside County,,2017,4.7,Midwest
7711,IL,Will County,,2007,4.8,Midwest
7712,IL,Will County,,2008,6.1,Midwest
7713,IL,Will County,,2009,10.3,Midwest
7714,IL,Will County,,2010,11.1,Midwest
7715,IL,Will County,,2011,10.6,Midwest
7716,IL,Will County,,2012,9.8,Midwest
7717,IL,Will County,,2013,9.8,Midwest
7718,IL,Will County,,2014,7.6,Midwest
7719,IL,Will County,,2015,6.0,Midwest
7720,IL,Will County,47218.0,2016,6.0,Midwest
7721,IL,Will County,,2017,5.2,Midwest
7722,IL,Williamson County,,2007,6.4,Midwest
7723,IL,Williamson County,,2008,6.9,Midwest
7724,IL,Williamson County,,2009,9.2,Midwest
7725,IL,Williamson County,,2010,9.7,Midwest
7726,IL,Williamson County,,2011,9.0,Midwest
7727,IL,Williamson County,,2012,8.6,Midwest
7728,IL,Williamson County,,2013,9.0,Midwest
7729,IL,Williamson County,,2014,7.1,Midwest
7730,IL,Williamson County,,2015,6.0,Midwest
7731,IL,Williamson County,42588.0,2016,6.1,Midwest
7732,IL,Williamson County,,2017,5.1,Midwest
7733,IL,Winnebago County,,2007,5.9,Midwest
7734,IL,Winnebago County,,2008,8.4,Midwest
7735,IL,Winnebago County,,2009,15.0,Midwest
7736,IL,Winnebago County,,2010,14.0,Midwest
7737,IL,Winnebago County,,2011,11.9,Midwest
7738,IL,Winnebago County,,2012,10.5,Midwest
7739,IL,Winnebago County,,2013,10.5,Midwest
7740,IL,Winnebago County,,2014,8.3,Midwest
7741,IL,Winnebago County,,2015,7.0,Midwest
7742,IL,Winnebago County,80634.0,2016,6.6,Midwest
7743,IL,Winnebago County,,2017,6.3,Midwest
7744,IL,Woodford County,,2007,3.4,Midwest
7745,IL,Woodford County,,2008,4.2,Midwest
7746,IL,Woodford County,,2009,8.2,Midwest
7747,IL,Woodford County,,2010,7.7,Midwest
7748,IL,Woodford County,,2011,6.4,Midwest
7749,IL,Woodford County,,2012,6.0,Midwest
7750,IL,Woodford County,,2013,7.1,Midwest
7751,IL,Woodford County,,2014,5.5,Midwest
7752,IL,Woodford County,,2015,5.0,Midwest
7753,IL,Woodford County,56323.0,2016,5.4,Midwest
7754,IL,Woodford County,,2017,4.3,Midwest
7755,IN,Indiana,,2007,4.6,Midwest
7756,IN,Indiana,,2008,5.9,Midwest
7757,IN,Indiana,,2009,10.3,Midwest
7758,IN,Indiana,,2010,10.4,Midwest
7759,IN,Indiana,,2011,9.1,Midwest
7760,IN,Indiana,,2012,8.3,Midwest
7761,IN,Indiana,,2013,7.7,Midwest
7762,IN,Indiana,,2014,6.0,Midwest
7763,IN,Indiana,,2015,5.0,Midwest
7764,IN,Indiana,55708.0,2016,4.4,Midwest
7765,IN,Indiana,,2017,3.5,Midwest
7766,IN,Adams County,,2007,4.3,Midwest
7767,IN,Adams County,,2008,7.6,Midwest
7768,IN,Adams County,,2009,14.6,Midwest
7769,IN,Adams County,,2010,10.1,Midwest
7770,IN,Adams County,,2011,7.8,Midwest
7771,IN,Adams County,,2012,7.0,Midwest
7772,IN,Adams County,,2013,6.1,Midwest
7773,IN,Adams County,,2014,4.6,Midwest
7774,IN,Adams County,,2015,4.0,Midwest
7775,IN,Adams County,46287.0,2016,3.6,Midwest
7776,IN,Adams County,,2017,2.6,Midwest
7777,IN,Allen County,,2007,4.8,Midwest
7778,IN,Allen County,,2008,6.0,Midwest
7779,IN,Allen County,,2009,10.5,Midwest
7780,IN,Allen County,,2010,10.7,Midwest
7781,IN,Allen County,,2011,9.3,Midwest
7782,IN,Allen County,,2012,8.4,Midwest
7783,IN,Allen County,,2013,7.5,Midwest
7784,IN,Allen County,,2014,5.7,Midwest
7785,IN,Allen County,,2015,5.0,Midwest
7786,IN,Allen County,51837.0,2016,4.3,Midwest
7787,IN,Allen County,,2017,3.3,Midwest
7788,IN,Bartholomew County,,2007,3.6,Midwest
7789,IN,Bartholomew County,,2008,4.6,Midwest
7790,IN,Bartholomew County,,2009,9.6,Midwest
7791,IN,Bartholomew County,,2010,9.5,Midwest
7792,IN,Bartholomew County,,2011,7.6,Midwest
7793,IN,Bartholomew County,,2012,6.4,Midwest
7794,IN,Bartholomew County,,2013,6.0,Midwest
7795,IN,Bartholomew County,,2014,4.4,Midwest
7796,IN,Bartholomew County,,2015,4.0,Midwest
7797,IN,Bartholomew County,50185.0,2016,3.4,Midwest
7798,IN,Bartholomew County,,2017,2.7,Midwest
7799,IN,Benton County,,2007,4.4,Midwest
7800,IN,Benton County,,2008,5.2,Midwest
7801,IN,Benton County,,2009,10.0,Midwest
7802,IN,Benton County,,2010,9.2,Midwest
7803,IN,Benton County,,2011,7.9,Midwest
7804,IN,Benton County,,2012,7.5,Midwest
7805,IN,Benton County,,2013,7.1,Midwest
7806,IN,Benton County,,2014,5.4,Midwest
7807,IN,Benton County,,2015,5.0,Midwest
7808,IN,Benton County,53862.0,2016,4.2,Midwest
7809,IN,Benton County,,2017,3.4,Midwest
7810,IN,Blackford County,,2007,5.8,Midwest
7811,IN,Blackford County,,2008,7.6,Midwest
7812,IN,Blackford County,,2009,14.0,Midwest
7813,IN,Blackford County,,2010,14.4,Midwest
7814,IN,Blackford County,,2011,12.3,Midwest
7815,IN,Blackford County,,2012,11.4,Midwest
7816,IN,Blackford County,,2013,9.9,Midwest
7817,IN,Blackford County,,2014,7.4,Midwest
7818,IN,Blackford County,,2015,6.0,Midwest
7819,IN,Blackford County,46210.0,2016,5.3,Midwest
7820,IN,Blackford County,,2017,4.0,Midwest
7821,IN,Boone County,,2007,3.5,Midwest
7822,IN,Boone County,,2008,4.3,Midwest
7823,IN,Boone County,,2009,7.7,Midwest
7824,IN,Boone County,,2010,7.6,Midwest
7825,IN,Boone County,,2011,6.7,Midwest
7826,IN,Boone County,,2012,6.1,Midwest
7827,IN,Boone County,,2013,5.7,Midwest
7828,IN,Boone County,,2014,4.4,Midwest
7829,IN,Boone County,,2015,4.0,Midwest
7830,IN,Boone County,49237.0,2016,3.4,Midwest
7831,IN,Boone County,,2017,2.8,Midwest
7832,IN,Brown County,,2007,4.4,Midwest
7833,IN,Brown County,,2008,5.7,Midwest
7834,IN,Brown County,,2009,9.9,Midwest
7835,IN,Brown County,,2010,10.4,Midwest
7836,IN,Brown County,,2011,9.2,Midwest
7837,IN,Brown County,,2012,8.0,Midwest
7838,IN,Brown County,,2013,7.4,Midwest
7839,IN,Brown County,,2014,6.0,Midwest
7840,IN,Brown County,,2015,5.0,Midwest
7841,IN,Brown County,63876.0,2016,4.0,Midwest
7842,IN,Brown County,,2017,3.4,Midwest
7843,IN,Carroll County,,2007,4.1,Midwest
7844,IN,Carroll County,,2008,5.9,Midwest
7845,IN,Carroll County,,2009,10.6,Midwest
7846,IN,Carroll County,,2010,9.9,Midwest
7847,IN,Carroll County,,2011,8.3,Midwest
7848,IN,Carroll County,,2012,7.4,Midwest
7849,IN,Carroll County,,2013,7.0,Midwest
7850,IN,Carroll County,,2014,5.2,Midwest
7851,IN,Carroll County,,2015,4.0,Midwest
7852,IN,Carroll County,51999.0,2016,4.2,Midwest
7853,IN,Carroll County,,2017,3.4,Midwest
7854,IN,Cass County,,2007,4.9,Midwest
7855,IN,Cass County,,2008,6.3,Midwest
7856,IN,Cass County,,2009,12.0,Midwest
7857,IN,Cass County,,2010,10.8,Midwest
7858,IN,Cass County,,2011,9.4,Midwest
7859,IN,Cass County,,2012,8.6,Midwest
7860,IN,Cass County,,2013,7.7,Midwest
7861,IN,Cass County,,2014,5.8,Midwest
7862,IN,Cass County,,2015,5.0,Midwest
7863,IN,Cass County,52599.0,2016,4.6,Midwest
7864,IN,Cass County,,2017,3.8,Midwest
7865,IN,Clark County,,2007,4.3,Midwest
7866,IN,Clark County,,2008,5.3,Midwest
7867,IN,Clark County,,2009,8.7,Midwest
7868,IN,Clark County,,2010,9.5,Midwest
7869,IN,Clark County,,2011,8.9,Midwest
7870,IN,Clark County,,2012,7.8,Midwest
7871,IN,Clark County,,2013,6.9,Midwest
7872,IN,Clark County,,2014,5.4,Midwest
7873,IN,Clark County,,2015,5.0,Midwest
7874,IN,Clark County,41404.0,2016,4.2,Midwest
7875,IN,Clark County,,2017,3.5,Midwest
7876,IN,Clay County,,2007,5.8,Midwest
7877,IN,Clay County,,2008,7.1,Midwest
7878,IN,Clay County,,2009,11.2,Midwest
7879,IN,Clay County,,2010,11.1,Midwest
7880,IN,Clay County,,2011,10.4,Midwest
7881,IN,Clay County,,2012,9.9,Midwest
7882,IN,Clay County,,2013,8.9,Midwest
7883,IN,Clay County,,2014,6.8,Midwest
7884,IN,Clay County,,2015,5.0,Midwest
7885,IN,Clay County,62852.0,2016,4.7,Midwest
7886,IN,Clay County,,2017,3.8,Midwest
7887,IN,Clinton County,,2007,4.5,Midwest
7888,IN,Clinton County,,2008,5.5,Midwest
7889,IN,Clinton County,,2009,10.8,Midwest
7890,IN,Clinton County,,2010,10.1,Midwest
7891,IN,Clinton County,,2011,8.6,Midwest
7892,IN,Clinton County,,2012,8.0,Midwest
7893,IN,Clinton County,,2013,7.1,Midwest
7894,IN,Clinton County,,2014,5.1,Midwest
7895,IN,Clinton County,,2015,4.0,Midwest
7896,IN,Clinton County,54582.0,2016,3.9,Midwest
7897,IN,Clinton County,,2017,3.1,Midwest
7898,IN,Crawford County,,2007,6.1,Midwest
7899,IN,Crawford County,,2008,7.5,Midwest
7900,IN,Crawford County,,2009,12.3,Midwest
7901,IN,Crawford County,,2010,12.9,Midwest
7902,IN,Crawford County,,2011,11.9,Midwest
7903,IN,Crawford County,,2012,10.6,Midwest
7904,IN,Crawford County,,2013,10.0,Midwest
7905,IN,Crawford County,,2014,7.6,Midwest
7906,IN,Crawford County,,2015,6.0,Midwest
7907,IN,Crawford County,44673.0,2016,5.6,Midwest
7908,IN,Crawford County,,2017,4.4,Midwest
7909,IN,Daviess County,,2007,3.1,Midwest
7910,IN,Daviess County,,2008,3.8,Midwest
7911,IN,Daviess County,,2009,5.9,Midwest
7912,IN,Daviess County,,2010,6.5,Midwest
7913,IN,Daviess County,,2011,6.1,Midwest
7914,IN,Daviess County,,2012,6.0,Midwest
7915,IN,Daviess County,,2013,5.7,Midwest
7916,IN,Daviess County,,2014,4.5,Midwest
7917,IN,Daviess County,,2015,4.0,Midwest
7918,IN,Daviess County,58703.0,2016,3.5,Midwest
7919,IN,Daviess County,,2017,2.8,Midwest
7920,IN,Dearborn County,,2007,5.0,Midwest
7921,IN,Dearborn County,,2008,5.9,Midwest
7922,IN,Dearborn County,,2009,9.8,Midwest
7923,IN,Dearborn County,,2010,10.9,Midwest
7924,IN,Dearborn County,,2011,9.6,Midwest
7925,IN,Dearborn County,,2012,8.9,Midwest
7926,IN,Dearborn County,,2013,8.5,Midwest
7927,IN,Dearborn County,,2014,6.6,Midwest
7928,IN,Dearborn County,,2015,5.0,Midwest
7929,IN,Dearborn County,43571.0,2016,4.7,Midwest
7930,IN,Dearborn County,,2017,3.9,Midwest
7931,IN,Decatur County,,2007,4.5,Midwest
7932,IN,Decatur County,,2008,6.3,Midwest
7933,IN,Decatur County,,2009,12.4,Midwest
7934,IN,Decatur County,,2010,11.6,Midwest
7935,IN,Decatur County,,2011,9.8,Midwest
7936,IN,Decatur County,,2012,8.1,Midwest
7937,IN,Decatur County,,2013,6.7,Midwest
7938,IN,Decatur County,,2014,4.9,Midwest
7939,IN,Decatur County,,2015,4.0,Midwest
7940,IN,Decatur County,57674.0,2016,3.6,Midwest
7941,IN,Decatur County,,2017,2.9,Midwest
7942,IN,DeKalb County,,2007,5.5,Midwest
7943,IN,DeKalb County,,2008,7.3,Midwest
7944,IN,DeKalb County,,2009,13.7,Midwest
7945,IN,DeKalb County,,2010,11.9,Midwest
7946,IN,DeKalb County,,2011,9.7,Midwest
7947,IN,DeKalb County,,2012,8.3,Midwest
7948,IN,DeKalb County,,2013,7.2,Midwest
7949,IN,DeKalb County,,2014,5.2,Midwest
7950,IN,DeKalb County,,2015,4.0,Midwest
7951,IN,DeKalb County,46662.0,2016,3.9,Midwest
7952,IN,DeKalb County,,2017,2.9,Midwest
7953,IN,Delaware County,,2007,5.3,Midwest
7954,IN,Delaware County,,2008,6.7,Midwest
7955,IN,Delaware County,,2009,10.7,Midwest
7956,IN,Delaware County,,2010,11.6,Midwest
7957,IN,Delaware County,,2011,10.2,Midwest
7958,IN,Delaware County,,2012,9.4,Midwest
7959,IN,Delaware County,,2013,8.6,Midwest
7960,IN,Delaware County,,2014,7.0,Midwest
7961,IN,Delaware County,,2015,6.0,Midwest
7962,IN,Delaware County,54690.0,2016,5.1,Midwest
7963,IN,Delaware County,,2017,4.2,Midwest
7964,IN,Dubois County,,2007,3.1,Midwest
7965,IN,Dubois County,,2008,3.8,Midwest
7966,IN,Dubois County,,2009,7.5,Midwest
7967,IN,Dubois County,,2010,7.5,Midwest
7968,IN,Dubois County,,2011,6.1,Midwest
7969,IN,Dubois County,,2012,5.7,Midwest
7970,IN,Dubois County,,2013,5.3,Midwest
7971,IN,Dubois County,,2014,4.1,Midwest
7972,IN,Dubois County,,2015,3.0,Midwest
7973,IN,Dubois County,40177.0,2016,3.1,Midwest
7974,IN,Dubois County,,2017,2.6,Midwest
7975,IN,Elkhart County,,2007,4.6,Midwest
7976,IN,Elkhart County,,2008,8.6,Midwest
7977,IN,Elkhart County,,2009,17.9,Midwest
7978,IN,Elkhart County,,2010,13.3,Midwest
7979,IN,Elkhart County,,2011,10.8,Midwest
7980,IN,Elkhart County,,2012,8.9,Midwest
7981,IN,Elkhart County,,2013,7.2,Midwest
7982,IN,Elkhart County,,2014,5.1,Midwest
7983,IN,Elkhart County,,2015,4.0,Midwest
7984,IN,Elkhart County,46019.0,2016,3.5,Midwest
7985,IN,Elkhart County,,2017,2.5,Midwest
7986,IN,Fayette County,,2007,7.2,Midwest
7987,IN,Fayette County,,2008,11.4,Midwest
7988,IN,Fayette County,,2009,15.2,Midwest
7989,IN,Fayette County,,2010,14.6,Midwest
7990,IN,Fayette County,,2011,12.6,Midwest
7991,IN,Fayette County,,2012,11.1,Midwest
7992,IN,Fayette County,,2013,10.3,Midwest
7993,IN,Fayette County,,2014,7.8,Midwest
7994,IN,Fayette County,,2015,7.0,Midwest
7995,IN,Fayette County,92406.0,2016,5.7,Midwest
7996,IN,Fayette County,,2017,5.0,Midwest
7997,IN,Floyd County,,2007,4.1,Midwest
7998,IN,Floyd County,,2008,5.1,Midwest
7999,IN,Floyd County,,2009,8.5,Midwest
8000,IN,Floyd County,,2010,8.9,Midwest
8001,IN,Floyd County,,2011,8.0,Midwest
8002,IN,Floyd County,,2012,7.1,Midwest
8003,IN,Floyd County,,2013,6.3,Midwest
8004,IN,Floyd County,,2014,5.1,Midwest
8005,IN,Floyd County,,2015,4.0,Midwest
8006,IN,Floyd County,70655.0,2016,4.1,Midwest
8007,IN,Floyd County,,2017,3.3,Midwest
8008,IN,Fountain County,,2007,4.2,Midwest
8009,IN,Fountain County,,2008,5.3,Midwest
8010,IN,Fountain County,,2009,12.7,Midwest
8011,IN,Fountain County,,2010,11.8,Midwest
8012,IN,Fountain County,,2011,9.6,Midwest
8013,IN,Fountain County,,2012,8.4,Midwest
8014,IN,Fountain County,,2013,9.8,Midwest
8015,IN,Fountain County,,2014,7.0,Midwest
8016,IN,Fountain County,,2015,6.0,Midwest
8017,IN,Fountain County,57573.0,2016,5.8,Midwest
8018,IN,Fountain County,,2017,4.0,Midwest
8019,IN,Franklin County,,2007,5.5,Midwest
8020,IN,Franklin County,,2008,6.6,Midwest
8021,IN,Franklin County,,2009,10.5,Midwest
8022,IN,Franklin County,,2010,11.5,Midwest
8023,IN,Franklin County,,2011,10.0,Midwest
8024,IN,Franklin County,,2012,9.5,Midwest
8025,IN,Franklin County,,2013,8.7,Midwest
8026,IN,Franklin County,,2014,6.5,Midwest
8027,IN,Franklin County,,2015,5.0,Midwest
8028,IN,Franklin County,78464.0,2016,4.3,Midwest
8029,IN,Franklin County,,2017,3.6,Midwest
8030,IN,Fulton County,,2007,4.8,Midwest
8031,IN,Fulton County,,2008,6.6,Midwest
8032,IN,Fulton County,,2009,12.7,Midwest
8033,IN,Fulton County,,2010,11.4,Midwest
8034,IN,Fulton County,,2011,9.2,Midwest
8035,IN,Fulton County,,2012,8.4,Midwest
8036,IN,Fulton County,,2013,8.3,Midwest
8037,IN,Fulton County,,2014,6.3,Midwest
8038,IN,Fulton County,,2015,5.0,Midwest
8039,IN,Fulton County,45356.0,2016,4.7,Midwest
8040,IN,Fulton County,,2017,3.5,Midwest
8041,IN,Gibson County,,2007,4.6,Midwest
8042,IN,Gibson County,,2008,5.2,Midwest
8043,IN,Gibson County,,2009,8.7,Midwest
8044,IN,Gibson County,,2010,8.0,Midwest
8045,IN,Gibson County,,2011,7.3,Midwest
8046,IN,Gibson County,,2012,6.8,Midwest
8047,IN,Gibson County,,2013,5.9,Midwest
8048,IN,Gibson County,,2014,4.5,Midwest
8049,IN,Gibson County,,2015,4.0,Midwest
8050,IN,Gibson County,49204.0,2016,3.6,Midwest
8051,IN,Gibson County,,2017,3.0,Midwest
8052,IN,Grant County,,2007,6.2,Midwest
8053,IN,Grant County,,2008,7.6,Midwest
8054,IN,Grant County,,2009,11.7,Midwest
8055,IN,Grant County,,2010,11.6,Midwest
8056,IN,Grant County,,2011,10.4,Midwest
8057,IN,Grant County,,2012,9.7,Midwest
8058,IN,Grant County,,2013,9.0,Midwest
8059,IN,Grant County,,2014,6.9,Midwest
